"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","H","1B","2B","3B","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","wOBA","wRAA","wRC","playerid","mlbamid"
"1943","Josh Gibson","HG","69","302","20","93","109","4",".402","",".466",".560",".867",".639","251","0.4","60.8","3.4","8.1","116","65","22","9","52","","","1","0","0","","4","",".639","67.6","100","1015243",""
"1948","Bob Boyd","MRS","13","59","1","9","16","5",".222","",".556",".593",".778",".621","264","0.9","13.4","-1.6","1.4","30","21","7","1","4","","","1","","0","","5","",".621","12.9","20","1001275","111317"
"1937","Josh Gibson","HG","39","182","20","60","73","2",".558","",".417",".500",".974",".613","246","0.2","38.3","-1.0","4.2","65","25","13","7","25","2","","1","","1","","2","",".613","40.5","64","1015243",""
"1929","Charlie Smith","NLG","66","301","22","86","81","16",".419","",".451",".551",".870",".602","221","2.6","60.5","7.2","7.3","111","56","29","4","48","","","7","","3","","16","",".602","64.0","106","1016406",""
"1920","Babe Ruth","NYY","142","615","54","158","137","14",".473",".365",".376",".533",".849",".601","234","-1.5","109.5","-4.7","13.1","172","73","36","9","150","","80","3","","5","","14","14",".601","122.6","194","1011327","121578"
"1926","Mule Suttles","SLS","89","390","32","90","130","15",".453","",".425",".472",".877",".585","226","2.3","71.7","-13.8","6.8","152","73","28","19","31","","","1","","7","","15","",".585","74.7","124","1016512",""
"1921","Babe Ruth","NYY","152","693","59","177","171","17",".469",".363",".378",".512",".846",".578","218","-1.5","117.1","-0.2","13.7","204","85","44","16","145","","81","4","","4","","17","13",".578","130.3","219","1011327","121578"
"1923","Babe Ruth","NYY","152","699","41","151","131","17",".372",".423",".393",".545",".764",".569","225","-5.1","116.8","12.6","14.7","205","106","45","13","170","","93","4","","3","","17","21",".569","126.5","218","1011327","121578"
"1941","Ted Williams","BOS","143","606","37","135","120","2",".329",".378",".406",".553",".735",".569","217","-2.1","94.5","-8.8","11.0","185","112","33","3","147","","27","3","","0","10","2","4",".569","110.2","182","1014040","124341"
"1939","Josh Gibson","HG","27","120","11","34","46","4",".422","",".402",".492",".824",".566","241","0.7","22.2","0.8","2.6","41","23","4","3","18","","","","","3","","4","",".566","21.7","37","1015243",""
"1925","Oscar Charleston","HBG","71","306","20","97","97","17",".349","",".427",".523",".776",".562","221","3.5","56.3","-1.9","5.8","109","63","23","3","51","","","","","15","","17","",".562","54.7","96","1014838",""
"1936","Mule Suttles","NE","28","110","12","29","36","3",".434","",".404",".464",".838",".557","213","0.5","18.5","0.0","2.1","40","21","7","0","10","","","1","","1","","3","",".557","19.1","34","1016512",""
"1921","Oscar Charleston","SLG","77","330","15","104","91","32",".303","",".433",".512",".736",".551","249","6.9","64.9","-8.8","6.4","123","79","17","12","41","","","5","","9","","32","",".551","55.0","97","1014838",""
"1924","Oscar Charleston","HBG","54","233","15","63","63","20",".376","",".405",".476",".780",".551","245","4.2","44.7","-1.4","4.8","83","41","22","5","28","","","","","3","","20","",".551","38.6","69","1014838",""
"1926","Babe Ruth","NYY","152","652","47","139","150","11",".366",".368",".372",".516",".737",".549","213","-3.4","98.6","-1.6","11.8","184","102","30","5","144","","76","3","","10","","11","9",".549","106.3","189","1011327","121578"
"1924","Babe Ruth","NYY","153","681","46","143","121","9",".361",".383",".378",".513",".739",".549","203","-3.4","98.9","2.5","12.3","200","108","39","7","142","","81","4","","6","","9","13",".549","112.0","199","1011327","121578"
"1939","Buck Leonard","HG","30","130","11","35","48","2",".394","",".385",".485",".780",".547","230","0.3","21.7","-1.3","2.4","42","21","10","0","21","","","","","5","","2","",".547","21.6","38","1015737",""
"1923","George Scales","- - -","62","241","13","50","57","7",".354","",".394",".502",".747",".546","213","1.7","39.0","-4.0","4.0","78","43","13","9","43","","","0","","8","","7","",".546","39.1","71","1016348",""
"1927","Charlie Smith","BRG","33","148","3","24","34","5",".220","",".457",".534",".677",".545","208","0.6","22.8","0.7","2.8","58","40","11","4","18","","","3","","3","","5","",".545","23.9","43","1016406",""
"2002","Barry Bonds","SFG","143","612","46","117","110","9",".429",".330",".370",".582",".799",".544","244","-1.2","108.9","-2.0","12.7","149","70","31","2","198","68","47","9","2","0","4","9","2",".544","110.0","183","1109","111188"
"1927","Babe Ruth","NYY","151","691","60","158","164","7",".417",".338",".356",".486",".772",".543","208","-2.7","102.2","5.5","12.9","192","95","29","8","137","","89","0","","14","","7","6",".543","110.7","199","1011327","121578"
"1938","Buck Leonard","HG","42","174","9","41","53","1",".320","",".420",".500",".740",".543","214","0.0","27.1","0.2","3.3","63","38","11","5","24","","","0","","4","","1","",".543","28.6","51","1015737",""
"1936","Josh Gibson","PC","50","205","18","51","66","6",".394","",".389",".478",".783",".542","204","1.0","31.8","4.8","4.1","68","39","7","4","30","","","0","","3","","6","",".542","32.9","60","1015243",""
"1925","Rogers Hornsby","STL","138","605","39","133","143","5",".353",".385",".403",".489",".756",".539","202","-0.2","89.8","4.2","10.7","203","113","41","10","83","","39","2","","16","","5","3",".539","96.2","178","1006030","116156"
"1927","Lou Gehrig","NYY","155","717","47","149","175","10",".392",".377",".373",".474",".765",".538","205","-2.8","102.9","-1.7","12.4","218","101","52","18","109","","84","3","","21","","10","8",".538","111.8","203","1004598","114680"
"1924","Rogers Hornsby","STL","143","640","25","121","94","5",".272",".422",".424",".507",".696",".538","214","-3.8","92.9","11.4","12.2","227","145","43","14","89","","32","2","","13","","5","12",".538","99.4","182","1006030","116156"
"2004","Barry Bonds","SFG","147","617","45","129","101","6",".450",".310",".362",".609",".812",".537","233","-0.3","105.7","-4.4","11.9","135","60","27","3","232","120","41","9","3","0","5","6","1",".537","108.0","185","1109","111188"
"2001","Barry Bonds","SFG","153","664","73","129","137","13",".536",".266",".328",".515",".863",".537","235","1.3","118.0","-12.0","12.5","156","49","32","2","177","35","93","9","2","0","5","13","3",".537","117.7","200","1109","111188"
"1926","Martín Dihigo","CSE","43","181","14","42","44","8",".362","",".375",".475",".737",".532","216","1.2","28.1","10.8","4.4","57","32","9","2","29","","","0","","5","","8","",".532","27.1","50","1015042",""
"1927","Jud Wilson","- - -","67","284","9","65","65","20",".277","",".422",".493",".699",".530","200","3.4","42.7","3.9","5.5","105","60","30","6","30","","","5","","3","","20","",".530","42.6","79","1016808",""
"1927","Oscar Charleston","HBG","69","299","13","68","74","21",".294","",".399",".502",".694",".530","199","3.5","44.8","2.3","5.6","99","59","20","7","49","","","2","","6","","21","",".530","44.7","83","1014838",""
"1923","Heavy Johnson","KCM","98","420","20","91","120","17",".316","",".406",".471",".722",".528","197","3.9","61.2","-11.2","6.0","152","87","32","13","38","","","8","","9","","17","",".528","61.9","117","1015593",""
"1925","John Beckwith","BBS","50","207","15","47","64","3",".333","",".404",".473",".738",".527","200","0.7","30.3","2.5","3.6","74","44","14","1","24","","","","","3","","3","",".527","30.9","59","1014583",""
